id,address,addressNumber,bikes,district,lat,lon,name,nearbyStations,slots,stationType,status,zip
245,245 - Lago Onega-Av. Ejército Nacional,S/N,3,GRA,19.43819,-99.19048,245 LAGO ONEGA-AV. EJERCITO NACIONAL ,"196,200,201",21,BIKE,OPN,11510.0
246,246 - Leibnitz-Thiers,S/N,0,2,19.434147,-99.179835,246 LEIBNITZ-THIERS,"207,247,248",15,BIKE,OPN,11510.0
247,247 - Herschel-Rousseau,S/N,0,2,19.432276,-99.18064,E247 HERSCHEL-ROUSSEAU ,"246,469,472",22,ELECTRIC_BIKE,OPN,11510.0
248,248 - Shakespeare-Lafayette,S/N,11,1,19.43175,-99.177399,248 SHAKESPEARE-LAFAYETTE ,"246,247,249",13,BIKE,OPN,11510.0
249,249 - Shakespeare-Darwin,S/N,12,2,19.429877,-99.177569,249 SHAKESPEARE-DARWIN ,"248,250,251",6,BIKE,OPN,11510.0
250,250 - Darwin-Mariano Escobedo,S/N,13,1,19.429057,-99.17966,250 DARWIN-MARIANO ESCOBEDO ,"239,249,252",14,"BIKE,TPV",OPN,11510.0
251,251 - Goethe-Darwin,S/N,4,2,19.429261,-99.17538,251 GOETHE-DARWIN ,"248,249,252",14,BIKE,OPN,11510.0
252,252 - Víctor Hugo-Shakespeare,S/N,0,2,19.427575,-99.17702,252 VICTOR HUGO-SHAKESPEARE ,"249,251,253",18,BIKE,OPN,11510.0
253,253 - Dante-Tolstoi,S/N,10,1,19.425835,-99.177924,253 DANTE-TOLSTOI ,"195,252,261",11,"BIKE,TPV",OPN,11510.0
254,254 - Alfonso Herrera-Miguel Shultz,S/N,15,S-R,19.43935,-99.16007,254 ALFONSO HERRERA-MIGUEL SHULTZ ,"160,174,256",15,BIKE,OPN,
